x_ITM,y_ITM,x_MODIS,y_MODIS,satellite,square,year,doy,evi,ndvi,QC,date
712584.5897258719,761893.1297091435,-415707.3349046732,5959475.64451746,Terra,1,2018,8,0.4869,0.6536,1,2018-01-08T00:00:00Z
712816.93772006,761898.6880863649,-415475.6785464093,5959475.64451746,Terra,1,2018,8,0.5897,0.7412,1,2018-01-08T00:00:00Z
717231.5255665676,762006.4754667279,-411074.20773939404,5959475.64451746,Terra,1,2018,8,0.3535,0.584,1,2018-01-08T00:00:00Z
718393.2514886908,762035.5284355578,-409915.92594807426,5959475.64451746,Terra,1,2018,8,0.4026,0.6352,1,2018-01-08T00:00:00Z
718625.5962805726,762041.3734233658,-409684.2695898103,5959475.64451746,Terra,1,2018,8,0.4672,0.6655,1,2018-01-08T00:00:00Z
718857.9409410037,762047.2298759116,-409452.61323154636,5959475.64451746,Terra,1,2018,1,0.43420000000000003,0.6314,1,2018-01-01T00:00:00Z
712610.6883988866,761661.823303852,-415707.3349046732,5959243.988159196,Terra,1,2018,8,0.5699,0.7173,1,2018-01-08T00:00:00Z
712843.0363620415,761667.3825455972,-415475.6785464093,5959243.988159196,Terra,1,2018,8,0.4787,0.6912,1,2018-01-08T00:00:00Z
713307.7319131533,761678.5354189127,-415012.36582988134,5959243.988159196,Terra,1,2018,8,0.4718,0.7016,1,2018-01-08T00:00:00Z
713540.0795005937,761684.1290505298,-414780.7094716174,5959243.988159196,Terra,1,2018,8,0.42,0.6582,1,2018-01-08T00:00:00Z
717568.2588721013,761087.1101201206,-410842.5513811301,5958549.019084404,Terra,1,2018,8,0.5646,0.7201,1,2018-01-08T00:00:00Z
717800.6040642455,761092.9126330506,-410610.89502286614,5958549.019084404,Terra,1,2018,8,0.5073,0.6906,1,2018-01-08T00:00:00Z
717594.3540719573,760855.8221679028,-410842.5513811301,5958317.362726141,Terra,1,2018,8,0.5418000000000001,0.7031000000000001,1,2018-01-08T00:00:00Z
717620.4485656609,760624.5343358513,-410842.5513811301,5958085.706367876,Terra,1,2018,8,0.5517,0.7031000000000001,1,2018-01-08T00:00:00Z
712302.5696797753,760262.8930039704,-416170.6476212012,5957854.050009612,Terra,1,2018,8,0.443,0.6559,1,2018-01-08T00:00:00Z
712534.9177058516,760268.434512878,-415938.9912629372,5957854.050009612,Terra,1,2018,8,0.3628,0.6516000000000001,1,2018-01-08T00:00:00Z
712767.2656075405,760273.9874797828,-415707.3349046732,5957854.050009612,Terra,1,2018,8,0.4138,0.7063,1,2018-01-08T00:00:00Z
717646.5423531783,760393.2466239413,-410842.5513811301,5957854.050009612,Terra,1,2018,8,0.443,0.6491,1,2018-01-08T00:00:00Z
717878.8874531518,760399.0516727805,-410610.89502286614,5957854.050009612,Terra,1,2018,8,0.3635,0.5411,1,2018-01-08T00:00:00Z
712328.6634713772,760031.5857386331,-416170.6476212012,5957622.393651349,Terra,1,2018,8,0.3137,0.606,1,2018-01-08T00:00:00Z
713025.7070831356,760048.247231591,-415475.6785464093,5957622.393651349,Terra,1,2018,8,0.3812,0.6789000000000001,1,2018-01-08T00:00:00Z
713258.0547042853,760053.8239768933,-415244.0221881453,5957622.393651349,Terra,1,2018,8,0.4536,0.7274,1,2018-01-08T00:00:00Z
717672.635434476,760161.9590321458,-410842.5513811301,5957622.393651349,Terra,1,2018,8,0.3837,0.5874,1,2018-01-08T00:00:00Z
717904.9805037347,760167.7649259144,-410610.89502286614,5957622.393651349,Terra,1,2018,8,0.3797,0.5881000000000001,1,2018-01-08T00:00:00Z
713051.8000753479,759816.9426823132,-415475.6785464093,5957390.737293084,Terra,1,2018,8,0.397,0.7111000000000001,1,2018-01-08T00:00:00Z
713284.1476655108,759822.52028976,-415244.0221881453,5957390.737293084,Terra,1,2018,8,0.341,0.6509,1,2018-01-08T00:00:00Z
717698.7278095202,759930.6715604364,-410842.5513811301,5957390.737293084,Terra,1,2018,8,0.24430000000000002,0.4925,1,2018-01-08T00:00:00Z
717931.0728480686,759936.4782989476,-410610.89502286614,5957390.737293084,Terra,1,2018,8,0.4762,0.6956,1,2018-01-08T00:00:00Z
713310.2399203677,759591.2167262494,-415244.0221881453,5957159.080934821,Terra,1,2018,8,0.6128,0.793,1,2018-01-08T00:00:00Z
713542.5873544264,759596.8066511092,-415012.36582988134,5957159.080934821,Terra,1,2018,8,0.6085,0.7609,1,2018-01-08T00:00:00Z
713774.9346631062,759602.4080314497,-414780.7094716174,5957159.080934821,Terra,1,2018,8,0.5352,0.7487,1,2018-01-08T00:00:00Z
717724.8194782773,759699.3842087857,-410842.5513811301,5957159.080934821,Terra,1,2018,8,0.2889,0.555,1,2018-01-08T00:00:00Z
717957.1644861198,759705.191791853,-410610.89502286614,5957159.080934821,Terra,1,2018,8,0.48310000000000003,0.6981,1,2018-01-08T00:00:00Z
713103.9839406209,759354.3339551666,-415475.6785464093,5956927.424576556,Terra,1,2018,8,0.6016,0.7716000000000001,1,2018-01-08T00:00:00Z
713336.3314688223,759359.9132863369,-415244.0221881453,5956927.424576556,Terra,1,2018,8,0.6016,0.7716000000000001,1,2018-01-08T00:00:00Z
713568.6788719156,759365.5040720943,-415012.36582988134,5956927.424576556,Terra,1,2018,8,0.6085,0.7609,1,2018-01-08T00:00:00Z
713801.0261496429,759371.1063124624,-414780.7094716174,5956927.424576556,Terra,1,2018,8,0.5336,0.7167,1,2018-01-08T00:00:00Z
717750.9104407139,759468.0969771695,-410842.5513811301,5956927.424576556,Terra,1,2018,8,0.3803,0.5918,1,2018-01-08T00:00:00Z
717983.2554178548,759473.9054046061,-410610.89502286614,5956927.424576556,Terra,1,2018,8,0.41500000000000004,0.61,1,2018-01-08T00:00:00Z
713827.1169297519,759139.8047166665,-414780.7094716174,5956695.768218293,Terra,1,2018,8,0.5814,0.73,1,2018-01-08T00:00:00Z
716150.5824465649,759196.4656796916,-412464.1458889778,5956695.768218293,Terra,1,2018,8,0.5848,0.7444000000000001,1,2018-01-08T00:00:00Z
716615.274019973,759207.9353195629,-412000.8331724499,5956695.768218293,Terra,1,2018,8,0.531,0.7104,1,2018-01-08T00:00:00Z
717312.3104142155,759225.2256848131,-411305.864097658,5956695.768218293,Terra,1,2018,10,0.4364,0.61,1,2018-01-10T00:00:00Z
717544.6556203689,759231.0120481116,-411074.20773939404,5956695.768218293,Terra,1,2018,10,0.4364,0.61,1,2018-01-10T00:00:00Z
718009.3456432397,759242.6191371775,-410610.89502286614,5956695.768218293,Terra,1,2018,10,0.4601,0.6041,1,2018-01-10T00:00:00Z
713620.8597875647,758902.8992841777,-415012.36582988134,5956464.1118600285,Terra,1,2018,8,0.5607,0.7296,1,2018-01-08T00:00:00Z
713853.2070033997,758908.5032440363,-414780.7094716174,5956464.1118600285,Terra,1,2018,8,0.6046,0.7446,1,2018-01-08T00:00:00Z
712949.906880043,758654.8513291707,-415707.3349046732,5956232.455501765,Terra,1,2018,8,0.4914,0.6936,1,2018-01-08T00:00:00Z
713182.2544401456,758660.4217925593,-415475.6785464093,5956232.455501765,Terra,1,2018,8,0.3247,0.561,1,2018-01-08T00:00:00Z
