Plant_ID;Variety;Treatment;Chamber;Biomass1;Biomass2;Height;Phyllochron12;Phyllochron13;Phyllochron14;Phyllochron23;Phyllochron24;Phyllochron34;Phyllochron1S;Type
115;Solomon;CON;2;0,0590;1,792;41,8;8;14;17;6;9;3;54;Cultivar
116;Carraig;CON;2;0,1940;2,375;50,2;11;17;29;6;18;12;47;Cultivar
117;Dunluce;CON;2;0,0250;0,746;48,1;10;13;22;3;12;9;43;Cultivar
118;Aberchoice;CON;2;0,0860;1,287;47;10;19;28;9;18;9;39;Cultivar
119;Abergain;CON;2;0,0220;0,852;40,1;9;18;24;9;15;6;35;Cultivar
120;Aspect;CON;2;0,0280;0,384;36,2;15;24;31;9;16;7;45;Cultivar
121;Semi-natural6;CON;2;0,0220;0,572;34,6;10;16;26;6;16;10;-43831;Semi
122;Semi-natural7;CON;2;0,0120;0,502;33;6;12;22;6;16;10;39;Semi
123;Semi-natural11;CON;2;0,0100;1,155;31,6;11;17;26;6;15;9;47;Semi
124;Wild4;CON;2;0,0680;1,274;25;9;15;27;6;18;12;45;Wild
125;Wild6;CON;2;0,0610;1,566;41,8;7;13;25;6;18;12;39;Wild
126;Wild7;CON;2;0,0490;1,323;33,7;10;19;28;9;18;9;46;Wild
127;Moy;WAT;2;0,0150;0,443;31,8;10;16;22;6;12;6;36;Cultivar
128;Lilora;WAT;2;0,0570;1,123;35;11;17;29;6;18;12;47;Cultivar
129;Solomon;WAT;2;0,0390;0,955;38;10;16;25;6;15;9;43;Cultivar
130;Carraig;WAT;2;0,0980;1,936;37,6;12;21;30;9;18;9;48;Cultivar
131;Dunluce;WAT;2;0,0350;0,774;52,6;10;13;22;3;12;9;36;Cultivar
132;Aberchoice;WAT;2;0,0250;0,369;50,3;11;14;27;3;16;13;34;Cultivar
133;Abergain;WAT;2;0,0180;0,433;46;13;16;29;3;16;13;50;Cultivar
134;Aspect;WAT;2;0,0710;1,03;46,6;11;17;26;6;15;9;40;Cultivar
135;Semi-natural6;WAT;2;0,0600;1,817;45;10;16;25;6;15;9;36;Semi
136;Semi-natural7;WAT;2;0,0130;0,853;33,5;9;12;22;3;13;10;-43835;Semi
137;Semi-natural11;WAT;2;0,0000;0,232;24,8;13;19;35;6;22;16;46;Semi
138;Wild4;WAT;2;0,0290;0,729;28,5;7;13;25;6;18;12;36;Wild
139;Wild6;WAT;2;0,0190;0,467;37,2;10;16;22;6;12;6;-43831;Wild
140;Wild7;WAT;2;0,0190;0,579;32,5;8;17;23;9;15;6;41;Wild
141;Moy;WAT;2;0,0000;0,431;38,5;9;12;19;3;10;7;36;Cultivar
142;Lilora;WAT;2;0,0390;1,57;43;8;14;26;6;18;12;47;Cultivar
143;Solomon;WAT;2;0,0230;1,175;34,7;9;15;24;6;15;9;42;Cultivar
144;Carraig;WAT;2;0,0730;1,193;46,4;11;20;26;9;15;6;51;Cultivar
145;Dunluce;WAT;2;0,0080;0,288;41,1;15;18;28;3;13;10;49;Cultivar
146;Aberchoice;WAT;2;0,0070;0,855;40;12;18;30;6;18;12;37;Cultivar
147;Abergain;WAT;2;0,0520;2,328;37,9;8;14;26;6;18;12;33;Cultivar
148;Aspect;WAT;2;0,1040;2,469;41,2;10;19;22;9;12;3;49;Cultivar
149;Semi-natural6;WAT;2;0,1930;0,729;32,2;10;19;25;9;15;6;32;Semi
150;Semi-natural7;WAT;2;0,0190;0,762;28,8;12;15;21;3;9;6;39;Semi
151;Semi-natural11;WAT;2;0,0200;0,479;28,3;7;13;23;6;16;10;-43834;Semi
152;Wild4;WAT;2;0,0180;0,245;29,1;10;16;23;6;13;7;-43834;Wild
153;Wild6;WAT;2;0,0060;0,156;23,3;10;20;23;10;13;3;-43837;Wild
154;Wild7;WAT;2;0,0004;0,346;25,5;9;15;25;6;16;10;32;Wild
155;Moy;WAT;2;0,0060;0,513;37;10;22;32;12;22;10;-43825;Cultivar
156;Lilora;WAT;2;0,0040;3,249;50;10;19;31;9;21;12;49;Cultivar
157;Solomon;WAT;2;0,1790;2,196;44;8;14;26;6;18;12;44;Cultivar
158;Carraig;WAT;2;0,0610;2,333;51,9;13;19;28;6;15;9;49;Cultivar
159;Dunluce;WAT;2;0,0108;0,519;45;11;20;23;9;12;3;41;Cultivar
160;Aberchoice;WAT;2;0,1950;0,491;43,1;9;18;24;9;15;6;42;Cultivar
161;Abergain;WAT;2;0,0080;0,246;39,1;12;22;25;10;13;3;36;Cultivar
162;Aspect;WAT;2;0,0300;0,477;31,9;11;23;27;12;16;4;44;Cultivar
163;Semi-natural6;WAT;2;0,0060;0,31;32,6;11;17;27;6;16;10;-43830;Semi
164;Semi-natural7;WAT;2;0,0120;0,504;30,2;11;17;27;6;16;10;-43830;Semi
165;Semi-natural11;WAT;2;0,0430;1,088;37,5;9;18;27;9;18;9;45;Semi
166;Wild4;WAT;2;0,0360;0,505;24,3;10;16;25;6;15;9;53;Wild
167;Wild6;WAT;2;0,0340;1,321;37;10;16;25;6;15;9;-43828;Wild
168;Wild7;WAT;2;0,0160;0,46;35,1;10;19;26;9;16;7;36;Wild
169;Moy;eCO2;7;0,0029;0,457;30,1;7;10;17;3;10;7;31;Cultivar
170;Lilora;eCO2;7;0,0350;0,536;34,7;12;18;24;6;12;6;38;Cultivar
171;Solomon;eCO2;7;0,1280;2,633;47,5;11;20;29;9;18;9;47;Cultivar
172;Carraig;eCO2;7;0,3030;5,847;33,2;10;19;31;9;21;12;42;Cultivar
173;Dunluce;eCO2;7;0,1010;1,628;47,1;8;17;26;9;18;9;37;Cultivar
174;Aberchoice;eCO2;7;0,1390;3,404;46,2;9;18;30;9;21;12;41;Cultivar
175;Abergain;eCO2;7;0,1190;2,992;35,7;12;21;30;9;18;9;41;Cultivar
176;Aspect;eCO2;7;0,1390;3,758;36,8;11;17;29;6;18;12;47;Cultivar
177;Semi-natural6;eCO2;7;0,2270;4,549;37,7;9;18;30;9;21;12;48;Semi
178;Semi-natural7;eCO2;7;0,0590;1,974;40;9;15;24;6;15;9;42;Semi
179;Semi-natural11;eCO2;7;0,0900;1,915;36,9;14;20;29;6;15;9;47;Semi
180;Wild4;eCO2;7;0,0910;1,567;33,5;11;17;29;6;18;12;40;Wild
181;Wild6;eCO2;7;0,0360;1,548;47,6;10;16;22;6;12;6;40;Wild
182;Wild7;eCO2;7;0,0230;0,602;26,6;11;17;30;6;19;13;37;Wild
183;Moy;eCO2;7;0,0970;1,98;26,8;7;13;22;6;15;9;40;Cultivar
184;Lilora;eCO2;7;0,1010;2,571;37,1;12;18;30;6;18;12;41;Cultivar
185;Solomon;eCO2;7;0,1550;1,621;35,5;11;20;29;9;18;9;36;Cultivar
186;Carraig;eCO2;7;0,2490;5,806;44,4;10;19;31;9;21;12;49;Cultivar
187;Dunluce;eCO2;7;0,0570;1,883;48,3;8;14;23;6;15;9;41;Cultivar
188;Aberchoice;eCO2;7;0,1310;2,657;51,5;13;19;31;6;18;12;45;Cultivar
189;Abergain;eCO2;7;0,1510;2,361;36,1;11;20;29;9;18;9;36;Cultivar
190;Aspect;eCO2;7;0,1230;3,81;46;9;18;30;9;21;12;48;Cultivar
191;Semi-natural6;eCO2;7;0,1190;4,451;29,6;9;21;30;12;21;9;48;Semi
192;Semi-natural7;eCO2;7;0,0520;1,452;34,1;11;17;26;6;15;9;47;Semi
193;Semi-natural11;eCO2;7;0,0180;0,903;30,1;10;16;22;6;12;6;-43831;Semi
194;Wild4;eCO2;7;0,0000;0,016;19,2;8;17;30;9;22;13;40;Wild
195;Wild6;eCO2;7;0,0830;3,506;39,6;12;21;27;9;15;6;37;Wild
196;Wild7;eCO2;7;0,0430;1,55;32,7;11;17;26;6;15;9;40;Wild
197;Moy;eCO2;7;0,0250;1,616;40,6;10;16;19;6;9;3;40;Cultivar
198;Lilora;eCO2;7;0,0950;2,902;29,1;9;18;27;9;18;9;48;Cultivar
